# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
bai li 	百里	c=0 d=0.00845849 t=53366
bai lun 	拜倫	c=0 d=4.17075e-08 t=53366
bai nei zhang 	白內障	c=1 d=9.91198e-44 t=53366
bai nian 	拜年	c=1 d=8.17315e-10 t=53366
bai niao 	百鳥	c=2 d=1.0166e-43 t=53366
bai ri 	白日	c=1 d=1 t=37348
bai ri 	百日	c=1 d=1 t=37346
bai se 	白色	c=6 d=0.000331926 t=53366
bai shi 	百世	c=1 d=5.63166e-40 t=53366
bai shi 	百事	c=0 d=0.0142987 t=53366
bai shi hui tong 	百事匯通	c=1 d=0.143704 t=53366
bai shui 	白水	c=1 d=1 t=46612
bai tian 	白天	c=5 d=0.0120946 t=53366
bai tiao 	白條	c=2 d=1.97531 t=34536
bai xing 	百姓	c=3 d=1.90653e-09 t=53366
bai ye xing 	白夜行	c=7 d=2.80416e-31 t=53366
bai yi 	白蟻	c=4 d=6.98035e-50 t=53366
bai yun 	白雲	c=2 d=7.72252e-08 t=53366
bai zhan 	百戰	c=1 d=0.0584257 t=53366
bai zhan ting 	拜占庭	c=1 d=1 t=3751
bai zhi 	白紙	c=1 d=0.722527 t=53366
bai zi 	白子	c=1 d=0.00096344 t=53366
ban 	伴	c=1 d=1 t=30290
ban 	半	c=3 d=0.000423097 t=53366
ban 	搬	c=1 d=1 t=33782
ban 	斑	c=4 d=3.53996e-29 t=53366
ban 	板	c=1 d=0.119433 t=53366
ban 	版	c=20 d=0.803275 t=53366
ban 	班	c=2 d=0.40657 t=53366
ban 	般	c=2 d=9.30462e-06 t=53366
ban 	辦	c=14 d=0.0632918 t=53366
ban ben 	坂本	c=4 d=3.97625e-33 t=53366
ban ben 	板本	c=1 d=4.14403e-49 t=53366
ban ben 	版本	c=14 d=1.65041 t=53366
ban che 	班車	c=3 d=1.99589 t=45541
ban dao 	半島	c=1 d=1 t=1810
ban dian 	半點	c=1 d=1.79652e-10 t=53366
ban fa 	辦法	c=3 d=2.20527e-10 t=53366
ban ge 	半個	c=1 d=0.00694315 t=53366
ban ge duo 	半個多	c=1 d=1 t=36572
ban ge yue 	半個月	c=1 d=0.000518277 t=53366
ban gong 	辦公	c=1 d=1 t=52918
ban gong shi 	辦公室	c=4 d=0.008271 t=53366
ban hao 	辦好	c=2 d=7.96836e-35 t=53366
ban ji 	班機	c=1 d=1.834e-47 t=53366
ban ji 	班級	c=1 d=0.0366992 t=53366
ban ka 	板卡	c=1 d=1 t=34870
ban kuai 	板塊	c=2 d=1.70469 t=22163
ban lan gen 	板藍根	c=1 d=1 t=34833
ban lang 	伴郎	c=1 d=2.70179e-46 t=53366
ban li 	辦理	c=7 d=0.00141576 t=53366
ban li de 	辦理的	c=1 d=1 t=21649
ban men dian 	板門店	c=1 d=1 t=1796
ban mian 	版面	c=1 d=7.85666e-16 t=53366
ban nian 	半年	c=1 d=1 t=46202
ban quan 	版權	c=2 d=3.26171e-43 t=53366
ban shi 	辦事	c=4 d=0.000352662 t=53366
ban shi chu 	辦事處	c=1 d=0.000293099 t=53366
ban shi da ting 	辦事大廳	c=2 d=9.27398e-26 t=53366
ban sui 	伴隨	c=1 d=0.0485578 t=53366
ban tian 	半天	c=2 d=0.0163259 t=53366
ban tu 	斑圖	c=1 d=5.72962e-37 t=53366
ban xiao shi 	半小時	c=1 d=6.50045e-22 t=53366
ban yan 	扮演	c=1 d=0.00113627 t=53366
ban ye 	半夜	c=1 d=1 t=34695
ban yong 	搬用	c=0 d=0.00342181 t=53366
ban you 	伴有	c=1 d=0.348192 t=53366
ban ze 	半澤	c=4 d=1.00393 t=38789
ban zhang 	班長	c=3 d=1.00001 t=22671
ban zheng 	辦證	c=2 d=0.00145564 t=53366
bang 	幫	c=15 d=0.0308074 t=53366
bang 	棒	c=3 d=1.86454e-13 t=53366
bang 	磅	c=1 d=2.76933e-13 t=53366
bang 	綁	c=1 d=0.000277414 t=53366
bang 	邦	c=1 d=1.07972e-20 t=53366
bang bang 	幫幫	c=0 d=0.00328764 t=53366
bang bang bang 	幫幫幫	c=1 d=0.0330412 t=53366
bang bing 	棒冰	c=2 d=1.62276e-40 t=53366
bang dao 	幫到	c=1 d=3.58175e-10 t=53366
bang ding 	綁定	c=8 d=0.000212834 t=53366
bang jia 	綁架	c=2 d=1 t=49666
bang mang 	幫忙	c=17 d=0.946542 t=53366
bang ni 	幫你	c=2 d=0.128112 t=53366
bang qiu 	棒球	c=1 d=1.60878e-35 t=53366
bang shang 	幫上	c=1 d=9.49712e-41 t=53366
bang wang 	幫忘	c=1 d=0.00663763 t=53366
bang wo 	幫我	c=4 d=0.0235177 t=53366
bang zhu 	幫助	c=3 d=0.945485 t=53366
bao 	保	c=2 d=0.00229955 t=53366
bao 	包	c=19 d=3.01175 t=53366
bao 	報	c=5 d=0.0170774 t=53366
bao 	寶	c=1 d=3.33041e-07 t=53366
bao 	抱	c=1 d=1 t=42423
bao 	爆	c=1 d=2.03815e-24 t=53366
bao 	胞	c=0 d=1.52694e-10 t=53366
bao 	飽	c=2 d=6.03486e-30 t=53366
bao bao 	寶寶	c=1 d=0.185444 t=53366
bao bei 	寶貝	c=1 d=0.2334 t=53366
bao bian 	褒貶	c=1 d=1 t=5142
bao chi 	保持	c=4 d=0.0992613 t=53366
bao cun 	保存	c=8 d=0.882497 t=53366
bao cuo 	報錯	c=2 d=0.000136389 t=53366
bao dan 	保單	c=1 d=0.00173804 t=53366
bao dao 	報道	c=2 d=0.666977 t=53366
bao di 	保底	c=1 d=1 t=14418
bao dian 	寶典	c=2 d=1.98511 t=39860
bao fa 	爆發	c=1 d=1 t=50558
bao gao 	報告	c=23 d=3.89174 t=53366
bao gui 	寶貴	c=1 d=3.28139e-09 t=53366
bao guo 	包裹	c=1 d=1.37259e-20 t=53366
bao han 	包含	c=14 d=2.26071e-08 t=53366
bao he 	寶盒	c=1 d=7.39786e-14 t=53366
bao he 	飽和	c=1 d=1 t=42639
bao hu 	保護	c=3 d=0.000854495 t=53366
bao hu mo 	保護膜	c=1 d=1 t=24576
bao jia 	報價	c=4 d=0.812884 t=53366
bao jia hu hang 	保駕護航	c=1 d=1 t=50930
bao jian 	保健	c=1 d=1 t=38543
bao jian cao 	保健操	c=0 d=0.1 t=36955
bao jiang 	褒獎	c=1 d=4.59749e-06 t=53366
bao jing 	報警	c=3 d=1.8825 t=42363
bao kou 	暴扣	c=1 d=0.408608 t=53366
bao kuo 	包括	c=78 d=2.76055 t=53366
bao kuo jie gou tu 	包括結構圖	c=1 d=0.782705 t=53366
bao li 	暴力	c=1 d=1 t=47118
bao liu 	保留	c=3 d=0.0229526 t=53366
bao ma 	寶馬	c=2 d=0.00654322 t=53366
bao mi hua 	爆米花	c=1 d=0.752014 t=53366
bao ming 	報名	c=3 d=1.23557e-18 t=53366
bao mu 	保姆	c=1 d=4.39519e-06 t=53366
bao qian 	抱歉	c=8 d=0.790571 t=53366
bao rong 	包容	c=1 d=1 t=1921
bao shi 	寶石	c=1 d=3.36961e-27 t=53366
bao wei 	包圍	c=1 d=1 t=35777
bao xian 	保險	c=42 d=0.156549 t=53366
bao xian fei 	保險費	c=1 d=2.63606e-21 t=53366
bao xian gong si 	保險公司	c=1 d=0.00244185 t=53366
bao xiao 	報銷	c=12 d=3.76971 t=53366
bao xiao dian 	報銷點	c=1 d=1.72578e-08 t=53366
bao xiu 	保修	c=4 d=0.113014 t=53366
bao xiu qi 	保修期	c=1 d=1 t=32333
bao yang 	保養	c=1 d=2.06754e-16 t=53366
bao yi 	抱以	c=1 d=0.000309671 t=53366
bao you 	包郵	c=1 d=0.0285814 t=53366
bao yu gang 	包玉剛	c=1 d=4.28289e-25 t=53366
bao zai 	包在	c=1 d=2.08329e-17 t=53366
bao zang 	寶藏	c=1 d=6.73888e-34 t=53366
bao zha 	爆炸	c=2 d=0.522046 t=53366
bao zhang 	保障	c=20 d=1.87965e-05 t=53366
bao zhe 	抱着	c=1 d=3.42461e-41 t=53366
bao zheng 	保證	c=8 d=0.463018 t=53366
bao zhi 	保值	c=6 d=2.64327 t=50679
bao zhi qi 	保質期	c=1 d=0.00121259 t=53366
bao zhuang 	包裝	c=1 d=4.75138e-11 t=53366
bao zi 	包子	c=1 d=6.20365e-31 t=53366
bao zou 	暴走	c=2 d=0.450947 t=53366
bei 	倍	c=2 d=1 t=47199
bei 	備	c=1 d=3.63588e-10 t=53366
bei 	北	c=6 d=0.0776922 t=53366
bei 	唄	c=1 d=1 t=30530
bei 	碑	c=1 d=0.117655 t=53366
bei 	背	c=4 d=3.37788e-27 t=53366
bei 	被	c=52 d=2.52793 t=53366
bei 	輩	c=2 d=1.00206 t=47160
bei bao 	背包	c=2 d=0.775149 t=53366
bei bi jiao 	被比較	c=1 d=0.000194515 t=53366
bei bu 	北部	c=1 d=3.12348e-17 t=53366
bei da 	北大	c=1 d=1 t=11000
bei dong 	被動	c=3 d=4.34156e-38 t=53366
bei fen 	備份	c=9 d=1.71043 t=53366
bei hang 	北航	c=1 d=0.737123 t=53366
bei jia 	倍加	c=0 d=0.00430669 t=53366
bei jia pang ke 	倍加龐克	c=1 d=0.0432828 t=53366
bei jing 	北京	c=8 d=0.0938814 t=53366
bei jing 	背景	c=23 d=1.73145 t=53366
bei jing cheng 	北京城	c=1 d=0.000387808 t=53366
bei ju 	悲劇	c=1 d=6.68909e-35 t=53366
bei kao 	備考	c=4 d=0.950166 t=53366
bei li yong 	被利用	c=1 d=0.0200405 t=53366
bei lu 	北路	c=2 d=0.000100454 t=53366
bei lun 	悖論	c=1 d=2.24013e-18 t=53366
bei mian 	背面	c=1 d=0.0561348 t=53366
bei ou 	北歐	c=1 d=1 t=49184
bei ren 	被人	c=1 d=1 t=43367
bei shang 	悲傷	c=1 d=4.6789e-36 t=53366
bei xuan 	備選	c=5 d=0.242926 t=53366
bei xuan 	被選	c=2 d=7.69454e-06 t=53366
bei xuan xiang 	備選項	c=1 d=2.9486e-45 t=53366
bei xuan ze 	被選擇	c=1 d=1.22498e-05 t=53366
bei xuan zhong 	被選中	c=1 d=0.0175975 t=53366
bei ye 	貝葉	c=0 d=8.59509e-15 t=53366
bei ye si 	貝葉斯	c=3 d=8.63817e-14 t=53366
bei yong 	備用	c=1 d=0.000784864 t=53366
bei zhan 	北站	c=3 d=2.77101 t=53366
bei zhe 	備着	c=1 d=1 t=52368
bei zhu 	備註	c=2 d=1 t=53366
bei zi 	杯子	c=1 d=0.054204 t=53366
bei zi 	被子	c=1 d=1 t=46115
ben 	奔	c=1 d=0.932394 t=53366
ben 	本	c=11 d=1.83421 t=53366
ben 	笨	c=1 d=4.61646e-25 t=53366
ben 	苯	c=1 d=1 t=41144
ben bi 	本幣	c=1 d=1 t=10641
ben ci 	本次	c=1 d=1 t=48121
ben di 	本地	c=6 d=0.359124 t=53366
ben di hua 	本地化	c=1 d=1 t=40399
ben jie 	本節	c=1 d=1 t=14373
ben ke 	本科	c=3 d=0.045275 t=53366
ben ke sheng 	本科生	c=1 d=1 t=28681
ben ke ti 	本課題	c=19 d=2.49447 t=29668
ben kui 	奔潰	c=1 d=0.028297 t=53366
ben lai 	本來	c=6 d=0.013786 t=53366
ben ren 	本人	c=2 d=0.00114197 t=53366
ben shen 	本身	c=12 d=0.0972957 t=53366
ben sheng 	本省	c=1 d=1 t=35344
ben teng 	奔騰	c=2 d=0.204562 t=53366
ben ti 	本題	c=1 d=0.818731 t=53366
ben ti 	本體	c=3 d=1 t=42726
ben wen 	本文	c=11 d=9.499e-08 t=53366
ben xiang 	奔向	c=1 d=1.77834e-08 t=53366
ben yi 	本意	c=1 d=1 t=50740
ben zhe 	本着	c=1 d=2.25488e-07 t=53366
ben zhi 	本質	c=5 d=5.85968e-07 t=53366
ben zhi shang 	本質上	c=1 d=1.48131e-05 t=53366
ben zhu ti 	本主題	c=1 d=0.188247 t=53366
ben zi 	本子	c=2 d=3.22244e-31 t=53366
beng 	崩	c=1 d=1.44547e-11 t=53366
beng kui 	崩潰	c=2 d=0.243052 t=53366
bi 	幣	c=2 d=0.0175097 t=53366
bi 	必	c=1 d=1 t=27988
bi 	比	c=16 d=0.806541 t=53366
bi 	碧	c=4 d=1 t=47984
bi 	筆	c=1 d=2.22206e-11 t=53366
bi 	閉	c=1 d=0.00653881 t=53366
bi 	鼻	c=2 d=0.013887 t=53366
bi bao 	閉包	c=1 d=3.16745e-05 t=53366
bi bei 	必備	c=2 d=1 t=44684
bi bu ke shao 	必不可少	c=1 d=1.58101e-36 t=53366
bi cheng 	逼成	c=1 d=1.82336e-08 t=53366
bi duan 	弊端	c=2 d=1.09537 t=50063
bi fang shuo 	比方說	c=1 d=1 t=53366
bi guan 	閉關	c=1 d=1 t=53366
bi hu 	壁虎	c=3 d=0.684305 t=53366
bi hua 	筆畫	c=1 d=1 t=31002
bi huan 	閉環	c=4 d=0.0956391 t=53366
bi ji 	筆記	c=0 d=0.0755784 t=53366
bi jian 	筆尖	c=2 d=0.0126913 t=53366
bi jiao 	比較	c=50 d=2.38228 t=53366
bi jiao hao 	比較好	c=1 d=1 t=49533
bi jing 	畢竟	c=8 d=0.0001441 t=53366
bi kong 	鼻孔	c=1 d=9.68434e-06 t=53366
bi kou 	閉口	c=2 d=1.99501 t=44934
bi li 	比例	c=3 d=0.918512 t=53366
bi li 	比利	c=3 d=0.913931 t=53366
bi li shi 	比利時	c=1 d=1 t=20368
bi mian 	避免	c=4 d=1.00003 t=53366
bi mian le 	避免了	c=2 d=1.94176 t=3860
bi neng 	俾能	c=2 d=1 t=40092
bi ran 	必然	c=1 d=8.41916e-06 t=53366
bi ru 	比如	c=11 d=0.611345 t=53366
bi ru shuo 	比如說	c=1 d=2.49279e-40 t=53366
bi sai 	比賽	c=2 d=1.97045 t=44350
bi shi 	筆試	c=10 d=3.46176 t=42881
bi shui 	避稅	c=1 d=1 t=50865
bi suo 	比索	c=1 d=4.92649e-25 t=53366
bi te 	比特	c=0 d=0.1 t=3209
bi te bi 	比特幣	c=2 d=1.14442 t=3597
bi tian 	必填	c=1 d=0.00018046 t=53366
bi wo 	比我	c=1 d=1 t=22027
bi xiu 	必修	c=6 d=2.06727e-37 t=53366
bi xu 	必須	c=9 d=0.151072 t=53366
bi yan 	鼻炎	c=1 d=3.74521e-35 t=53366
bi yao 	必要	c=4 d=1 t=53366
bi ye 	畢業	c=15 d=0.524663 t=53366
bi ye sheng 	畢業生	c=2 d=1.37908 t=39639
bi yi qian 	比以前	c=1 d=1 t=46257
bi zhi 	壁紙	c=3 d=2.96042 t=44650
bian 	便	c=3 d=0.377192 t=53366
bian 	變	c=6 d=1 t=53366
bian 	邊	c=4 d=1.98511 t=53366
bian bie 	辨別	c=1 d=5.24841e-05 t=53366
bian cheng 	編程	c=4 d=1.88927e-14 t=53366
bian cheng 	變成	c=6 d=0.0439404 t=53366
bian dai 	邊帶	c=1 d=1 t=42146
bian dan 	變淡	c=1 d=0.14808 t=53366
bian de 	變得	c=6 d=1.86324 t=53366
bian dong 	變動	c=5 d=1 t=53366
bian duo 	變多	c=1 d=3.65908e-26 t=53366
bian fu 	蝙蝠	c=1 d=7.08318e-32 t=53366
bian ge 	變革	c=2 d=1 t=44204
bian geng 	變更	c=1 d=1 t=49631
bian gu 	變故	c=1 d=1 t=10754
bian hao 	編號	c=2 d=0.0197421 t=53366
bian hua 	變化	c=33 d=1.1653 t=53366
bian huan 	變換	c=3 d=1.58297e-13 t=53366
bian ji 	編輯	c=7 d=5.09763e-15 t=53366
bian ji 	邊際	c=2 d=1.97045 t=21113
bian ji qi 	編輯器	c=3 d=1 t=53366
bian jie 	便捷	c=1 d=1 t=2647
bian jie 	邊界	c=2 d=1.38497e-08 t=53366
bian ju 	邊距	c=1 d=1 t=47315
bian kuan 	變寬	c=2 d=2.53934e-44 t=53366
bian kuang 	邊框	c=1 d=1 t=26444
bian le 	變了	c=2 d=1.23169e-10 t=53366
bian li 	便利	c=2 d=1 t=50886
bian li 	遍歷	c=3 d=0.00687406 t=53366
bian liang 	變量	c=16 d=1.30908 t=53366
bian liang zhi 	變量值	c=1 d=1 t=53366
bian lun 	辯論	c=1 d=2.67272e-07 t=53366
bian lun hui 	辯論會	c=1 d=1 t=30534
bian ma 	編碼	c=7 d=0.821203 t=53366
bian men 	邊門	c=1 d=7.44888e-36 t=53366
bian ping 	扁平	c=0 d=8.4206e-09 t=53366
bian ping hua 	扁平化	c=6 d=2.00679e-06 t=53366
bian qian 	變遷	c=3 d=1.71743e-28 t=53366
bian qie 	變且	c=1 d=1 t=27789
bian shang 	邊上	c=3 d=0.085435 t=53366
bian shao 	變少	c=1 d=1 t=36582
bian xiang 	變相	c=1 d=1 t=50843
bian xie 	編寫	c=4 d=2.46891e-15 t=53366
bian xing 	變型	c=12 d=4.14065 t=32982
bian xing 	變形	c=1 d=1 t=14995
bian yao 	便要	c=1 d=5.8164e-08 t=53366
bian yi 	便宜	c=1 d=3.93175e-48 t=53366
bian yi 	編譯	c=7 d=2.01103 t=53366
bian yi 	變異	c=1 d=1 t=30038
bian yu 	便於	c=1 d=1 t=53366
bian yuan 	邊緣	c=1 d=0.244143 t=53366
bian zhai 	變窄	c=2 d=2.55849e-44 t=53366
bian zheng 	辯證	c=1 d=0.0672055 t=53366
bian zheng fa 	辯證法	c=1 d=0.0220377 t=53366
bian zhi 	變質	c=1 d=1.94946e-30 t=53366
bian zhong 	變種	c=1 d=1 t=46409
biao 	標	c=3 d=0.467666 t=53366
biao 	表	c=16 d=1 t=53366
biao 	鏢	c=1 d=1 t=47153
biao bai 	表白	c=0 d=0.1 t=53366
biao da 	表達	c=11 d=1.91851 t=53366
biao da shi 	表達式	c=1 d=3.62649e-09 t=53366
biao dan 	表單	c=4 d=2.3394 t=970
biao gan 	標杆	c=1 d=1.59858e-19 t=53366
biao ge 	表格	c=8 d=1.49883 t=53366
biao hao 	標號	c=1 d=1 t=43157
biao ji 	標記	c=12 d=4.90876e-12 t=53366
biao jia 	標價	c=1 d=1 t=21400
biao mian 	表面	c=3 d=1 t=53366
biao ming 	標明	c=1 d=0.00346515 t=53366
biao ming 	表明	c=6 d=1.02581e-35 t=53366
biao qian 	標籤	c=3 d=2.77065 t=53366
biao qing 	表情	c=4 d=1.31099 t=53366
biao qing bao 	表情包	c=2 d=1 t=53366
biao qing di 	表情帝	c=1 d=0.287941 t=53366
biao ren 	鏢人	c=1 d=1 t=47155
biao shi 	標識	c=12 d=1 t=26548
biao shi 	表示	c=29 d=0.173646 t=53366
biao shi liang 	標識量	c=1 d=1 t=15425
biao shu 	標書	c=2 d=1.00228 t=22413
biao shu 	表述	c=1 d=0.00216573 t=53366
biao ti 	標題	c=10 d=0.65636 t=53366
biao xian 	表現	c=2 d=1.523e-08 t=53366
biao xian chu 	表現出	c=1 d=5.45018e-37 t=53366
biao xiang 	表相	c=2 d=2.50777e-44 t=53366
biao yan 	表演	c=2 d=0.12938 t=53366
biao yang 	表揚	c=1 d=0.271173 t=53366
biao yi 	表意	c=1 d=1 t=22811
biao zhi 	標誌	c=1 d=1.29759e-06 t=53366
biao zhu 	標註	c=1 d=1 t=1632
biao zhun 	標準	c=37 d=0.633857 t=53366
biao zhun cha 	標準差	c=1 d=1 t=26588
biao zhun hua 	標準化	c=2 d=0.0620385 t=53366
biao zhun yan jiu 	標準研究	c=1 d=0.00621991 t=53366
bie 	別	c=12 d=0.00484407 t=53366
bie 	憋	c=1 d=3.08599e-22 t=53366
bie de 	別的	c=2 d=0.00293808 t=53366
bie dui 	別對	c=0 d=0.00101529 t=53366
bie dui wo shuo 	別對我說	c=1 d=0.0102037 t=53366
bie ju yi ge 	別具一格	c=1 d=1 t=67
bie ming 	別名	c=1 d=0.00486835 t=53366
bie qie 	別且	c=1 d=1 t=32932
bie ren 	別人	c=8 d=0.320058 t=53366
bie wang 	別忘	c=0 d=2.02454e-05 t=53366
bie wang le 	別忘了	c=1 d=0.000203468 t=53366
bie yong 	別用	c=3 d=1.11336e-28 t=53366
bie zhi 	別緻	c=1 d=0.000169951 t=53366
bin 	彬	c=2 d=3.72968e-37 t=53366
bin 	斌	c=1 d=0.0117959 t=53366
bin 	賓	c=5 d=0.331211 t=53366
bin guan 	賓館	c=4 d=0.00023056 t=53366
bin jiang 	濱江	c=1 d=1 t=48860
bin qi 	擯棄	c=1 d=1 t=4158
bing 	並	c=128 d=1.28134 t=53366
bing 	兵	c=3 d=4.73361e-32 t=53366
bing 	冰	c=1 d=0.0939493 t=53366
bing 	病	c=3 d=7.75819e-08 t=53366
bing 	稟	c=1 d=1 t=53366
bing 	餅	c=2 d=1.7788 t=30916
bing bing 	冰冰	c=1 d=1.59223e-31 t=53366
bing bu 	並不	c=2 d=3.46574e-05 t=53366
bing bu duo 	並不多	c=1 d=5.89909e-27 t=53366
bing bu hui 	並不會	c=2 d=1 t=53366
bing bu neng 	並不能	c=1 d=7.26396e-05 t=53366
bing bu shi 	並不是	c=10 d=7.06753e-06 t=53366
bing bu xi wang 	並不希望	c=1 d=7.10295e-06 t=53366
bing bu xiang 	並不像	c=1 d=1 t=1898
bing cun 	並存	c=1 d=1 t=4566
bing du 	病毒	c=1 d=0.0112769 t=53366
bing fei 	並非	c=3 d=0.118837 t=53366
