# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	23402
#@/user_id	sky_mac
a 	啊	c=0 d=4.75447e-49 t=23402
bao kuo jie gou tu 	包括結構圖	c=1 d=0.782705 t=23402
bao ling 	保齡	c=1 d=1 t=19808
bao liu 	保留	c=3 d=0.0229526 t=23402
bao ma 	寶馬	c=2 d=0.00654322 t=23402
bao mi hua 	爆米花	c=1 d=0.752014 t=23402
bao ming 	報名	c=1 d=2.24318e-34 t=23402
bao mu 	保姆	c=1 d=4.39519e-06 t=23402
bao nuan 	保暖	c=4 d=3.93096 t=21518
bao qian 	抱歉	c=3 d=0.790571 t=23402
bao shi 	寶石	c=1 d=3.36961e-27 t=23402
bao xian 	保險	c=12 d=0.156549 t=23402
bao xian fei 	保險費	c=1 d=2.63606e-21 t=23402
bao xian gong si 	保險公司	c=1 d=0.00244185 t=23402
bao xiao 	報銷	c=12 d=3.76971 t=23402
bao xiao dian 	報銷點	c=1 d=1.72578e-08 t=23402
bao xiu 	保修	c=4 d=0.113014 t=23402
bao yang 	保養	c=1 d=2.06754e-16 t=23402
bao yi 	抱以	c=1 d=0.000309671 t=23402
bao you 	包郵	c=1 d=0.0285814 t=23402
bao yu gang 	包玉剛	c=1 d=4.28289e-25 t=23402
bao zai 	包在	c=1 d=2.08329e-17 t=23402
bao zang 	寶藏	c=1 d=6.73888e-34 t=23402
bao zha 	爆炸	c=2 d=0.522046 t=23402
bao zhang 	保障	c=1 d=7.10514e-39 t=23402
bao zhe 	抱着	c=1 d=3.42461e-41 t=23402
bao zheng 	保證	c=3 d=0.463018 t=23402
bao zhi qi 	保質期	c=1 d=0.00121259 t=23402
bao zhuang 	包裝	c=1 d=4.75138e-11 t=23402
bao zi 	包子	c=1 d=6.20365e-31 t=23402
bao zou 	暴走	c=3 d=0.450947 t=23402
bei 	備	c=1 d=3.63588e-10 t=23300
bei 	北	c=2 d=0.0776922 t=23402
bei 	碑	c=1 d=0.117655 t=23402
bei 	背	c=4 d=3.37788e-27 t=23402
bei 	被	c=19 d=0.965605 t=23402
bei 	貝	c=1 d=1 t=18946
bei bao 	背包	c=2 d=0.775149 t=23402
bei bi jiao 	被比較	c=1 d=0.000194515 t=23402
bei bu 	北部	c=1 d=3.12348e-17 t=23402
bei dong 	被動	c=3 d=2.31973e-48 t=23402
bei fen 	備份	c=9 d=1.71043 t=23402
bei hang 	北航	c=1 d=0.737123 t=23402
bei jia 	倍加	c=0 d=0.00430669 t=23402
bei jia pang ke 	倍加龐克	c=1 d=0.0432828 t=23402
bei jing 	北京	c=4 d=0.0938814 t=23402
bei jing 	背景	c=25 d=1.73145 t=23402
bei jing cheng 	北京城	c=1 d=0.000387808 t=23402
bei jing ju 	被京劇	c=1 d=1 t=19417
bei ju 	悲劇	c=1 d=6.68909e-35 t=23402
bei kao 	備考	c=5 d=0.950166 t=23402
bei li yong 	被利用	c=1 d=0.0200405 t=23402
bei lu 	北路	c=2 d=0.000100454 t=23300
bei lun 	悖論	c=1 d=2.24013e-18 t=23402
bei mian 	背面	c=1 d=0.0561348 t=23402
bei shang 	悲傷	c=1 d=4.6789e-36 t=23402
bei xuan 	備選	c=5 d=0.242926 t=23402
bei xuan 	被選	c=2 d=7.69454e-06 t=23402
bei xuan xiang 	備選項	c=1 d=2.9486e-45 t=23402
bei xuan ze 	被選擇	c=2 d=2.02978e-05 t=23402
bei xuan zhong 	被選中	c=1 d=0.0175975 t=23402
bei ye 	貝葉	c=0 d=8.59509e-15 t=23402
bei ye si 	貝葉斯	c=1 d=8.63817e-14 t=23402
bei yong 	備用	c=1 d=0.000784864 t=23402
bei zhan 	北站	c=3 d=2.77101 t=23402
bei zhu 	備註	c=1 d=1 t=23402
bei zi 	杯子	c=1 d=0.054204 t=23300
ben 	奔	c=1 d=0.932394 t=23402
ben 	本	c=5 d=1.83421 t=23402
ben 	笨	c=1 d=4.61646e-25 t=23402
ben di 	本地	c=7 d=0.359124 t=23402
ben ke 	本科	c=1 d=0.045275 t=23300
ben kui 	奔潰	c=1 d=0.028297 t=23402
ben lai 	本來	c=7 d=0.013786 t=23402
ben ren 	本人	c=2 d=0.755784 t=23300
ben shen 	本身	c=3 d=0.0972957 t=23402
ben teng 	奔騰	c=2 d=0.204562 t=23402
ben ti 	本題	c=1 d=0.818731 t=23402
ben wen 	本文	c=4 d=3.39103e-12 t=23402
ben xiang 	奔向	c=1 d=1.77834e-08 t=23300
ben zhe 	本着	c=1 d=2.25488e-07 t=23300
ben zhi 	本質	c=1 d=1.95784e-51 t=23402
ben zhi shang 	本質上	c=1 d=1.48131e-05 t=23402
ben zhu ti 	本主題	c=1 d=0.188247 t=23402
ben zi 	本子	c=2 d=3.22244e-31 t=23402
beng 	崩	c=1 d=1.44547e-11 t=23300
beng kui 	崩潰	c=2 d=0.243052 t=23402
bi 	幣	c=1 d=0.0175097 t=23402
bi 	比	c=5 d=0.806541 t=23402
bi 	筆	c=1 d=2.22206e-11 t=23402
bi 	閉	c=1 d=0.00653881 t=23300
bi 	鼻	c=2 d=0.013887 t=23402
bi bao 	閉包	c=1 d=3.16745e-05 t=23402
bi bu ke shao 	必不可少	c=1 d=1.58101e-36 t=23402
bi cheng 	逼成	c=1 d=1.82336e-08 t=23402
bi fang shuo 	比方說	c=1 d=1 t=23402
bi gu 	避穀	c=1 d=1 t=19245
bi guan 	閉關	c=1 d=1 t=23402
bi hu 	壁虎	c=3 d=0.684305 t=23402
bi huan 	閉環	c=4 d=0.0956391 t=23402
bi ji 	筆記	c=5 d=1.72265 t=23402
bi ji ben 	筆記本	c=1 d=1 t=21983
bi jian 	筆尖	c=2 d=0.0126913 t=23300
bi jiao 	比較	c=31 d=2.38228 t=23402
bi jing 	畢竟	c=8 d=0.0001441 t=23402
bi kong 	鼻孔	c=1 d=9.68434e-06 t=23402
bi li 	比例	c=1 d=0.918512 t=23402
bi li 	比利	c=3 d=0.913931 t=23402
bi mian 	避免	c=3 d=1.00003 t=23402
bi ran 	必然	c=1 d=8.41916e-06 t=23402
bi ru 	比如	c=8 d=0.611345 t=23402
bi ru shuo 	比如說	c=1 d=2.49279e-40 t=23402
bi suo 	比索	c=1 d=4.92649e-25 t=23402
bi tian 	必填	c=1 d=0.00018046 t=23402
bi xiu 	必修	c=1 d=4.28945e-43 t=23402
bi xu 	必須	c=5 d=0.151072 t=23402
bi yan 	鼻炎	c=1 d=3.74521e-35 t=23402
bi yao 	必要	c=2 d=1 t=23402
bi ye 	畢業	c=5 d=0.923116 t=23402
bi yi qian 	比以前	c=1 d=1 t=20134
bi zu 	鼻祖	c=1 d=1 t=20257
bian 	便	c=3 d=0.377192 t=23402
bian 	變	c=6 d=1 t=23402
bian 	邊	c=4 d=1.98511 t=23402
bian bie 	辨別	c=1 d=5.24841e-05 t=23300
bian cheng 	編程	c=4 d=0.121918 t=23402
bian cheng 	變成	c=5 d=0.0439404 t=23402
bian dan 	變淡	c=1 d=0.14808 t=23402
bian de 	變得	c=6 d=1.86324 t=23402
bian dong 	變動	c=2 d=1 t=23402
bian duo 	變多	c=1 d=3.65908e-26 t=23402
bian fa 	變法	c=1 d=1 t=22058
bian fu 	蝙蝠	c=1 d=7.08318e-32 t=23402
bian hao 	編號	c=2 d=0.0197421 t=23402
bian hua 	變化	c=22 d=1.1653 t=23402
bian huan 	變換	c=3 d=1.58297e-13 t=23402
bian ji 	編輯	c=3 d=2.94671e-19 t=23402
bian ji qi 	編輯器	c=1 d=1 t=23402
bian jie 	邊界	c=1 d=1.38497e-08 t=23402
bian kuan 	變寬	c=2 d=2.53934e-44 t=23402
bian le 	變了	c=2 d=8.83098e-09 t=23402
bian li 	遍歷	c=3 d=0.00687406 t=23402
bian liang 	變量	c=21 d=1.30908 t=23402
bian liang zhi 	變量值	c=1 d=1 t=23402
bian lun 	辯論	c=1 d=2.67272e-07 t=23402
bian ma 	編碼	c=7 d=0.821203 t=23402
bian men 	邊門	c=1 d=7.44888e-36 t=23402
bian ping 	扁平	c=0 d=8.4206e-09 t=23402
bian ping hua 	扁平化	c=6 d=2.00679e-06 t=23402
bian qian 	變遷	c=3 d=1.71743e-28 t=23402
bian shang 	邊上	c=3 d=0.085435 t=23402
bian xie 	編寫	c=2 d=5.66139e-06 t=23402
bian yao 	便要	c=1 d=5.8164e-08 t=23300
bian yi 	便宜	c=1 d=3.93175e-48 t=23402
bian yi 	編譯	c=7 d=2.01103 t=23402
bian yu 	便於	c=1 d=1 t=23402
bian yuan 	邊緣	c=1 d=0.244143 t=23300
bian zhai 	變窄	c=2 d=2.55849e-44 t=23402
bian zheng 	辯證	c=1 d=0.0672055 t=23402
bian zheng fa 	辯證法	c=1 d=0.0220377 t=23402
bian zhi 	變質	c=1 d=1.94946e-30 t=23402
biao 	標	c=3 d=0.467666 t=23402
biao 	表	c=8 d=1 t=23402
biao bai 	表白	c=0 d=0.1 t=23402
biao da 	表達	c=6 d=1.91851 t=23402
biao da shi 	表達式	c=1 d=5.29017e-10 t=23300
biao gan 	標杆	c=1 d=1.59858e-19 t=23402
biao ge 	表格	c=6 d=1.49883 t=23402
biao ji 	標記	c=3 d=0.329541 t=23402
biao mian 	表面	c=1 d=1 t=23402
biao ming 	標明	c=1 d=0.00346515 t=23402
biao ming 	表明	c=1 d=1.02581e-35 t=23402
biao qian 	標籤	c=6 d=2.77065 t=23402
biao qing 	表情	c=4 d=1.31099 t=23402
biao qing bao 	表情包	c=2 d=1 t=23402
biao qing di 	表情帝	c=1 d=0.287941 t=23402
biao shi 	表示	c=7 d=0.173646 t=23402
biao shu 	表述	c=1 d=0.00216573 t=23300
biao ti 	標題	c=10 d=0.65636 t=23402
biao xian 	表現	c=1 d=1.523e-08 t=23300
biao xian chu 	表現出	c=1 d=5.45018e-37 t=23402
biao xiang 	表相	c=2 d=2.50777e-44 t=23402
biao yan 	表演	c=2 d=0.12938 t=23402
biao yang 	表揚	c=1 d=0.271173 t=23402
biao zhi 	標誌	c=1 d=1.29759e-06 t=23300
biao zhun 	標準	c=37 d=0.633857 t=23402
biao zhun hua 	標準化	c=3 d=0.0620385 t=23402
biao zhun yan jiu 	標準研究	c=1 d=0.00621991 t=23402
bie 	別	c=8 d=0.00484407 t=23402
bie 	憋	c=1 d=4.86902e-34 t=23402
bie de 	別的	c=2 d=0.00293808 t=23402
bie dui 	別對	c=0 d=0.00101529 t=23402
bie dui wo shuo 	別對我說	c=1 d=0.0102037 t=23402
bie ming 	別名	c=1 d=0.00486835 t=23300
bie ren 	別人	c=3 d=0.320058 t=23402
bie wang 	別忘	c=0 d=2.02454e-05 t=23300
bie wang le 	別忘了	c=1 d=0.000203468 t=23300
bie yong 	別用	c=3 d=1.11336e-28 t=23402
bie zhi 	別緻	c=1 d=0.000169951 t=23402
bin 	彬	c=2 d=3.72968e-37 t=23402
bin 	斌	c=1 d=0.0117959 t=23402
bin 	賓	c=5 d=0.331211 t=23402
bin guan 	賓館	c=4 d=0.00023056 t=23402
bing 	並	c=45 d=0.668385 t=23402
bing 	兵	c=3 d=4.73361e-32 t=23402
bing 	冰	c=1 d=0.0939493 t=23402
bing 	病	c=1 d=2.3477e-11 t=23300
bing 	稟	c=1 d=1 t=23402
bing bing 	冰冰	c=1 d=1.59223e-31 t=23402
bing bu 	並不	c=2 d=3.46574e-05 t=23402
bing bu duo 	並不多	c=1 d=5.89909e-27 t=23402
bing bu hui 	並不會	c=2 d=1 t=23402
bing bu neng 	並不能	c=1 d=7.26396e-05 t=23402
bing bu shi 	並不是	c=4 d=7.06753e-06 t=23402
bing bu xi wang 	並不希望	c=1 d=7.10295e-06 t=23300
bing du 	病毒	c=1 d=0.0112769 t=23402
bing fei 	並非	c=3 d=0.118837 t=23402
bing hong cha 	冰紅茶	c=2 d=4.94143e-23 t=23402
bing jiang 	並將	c=1 d=9.78167e-06 t=23402
bing lian ji 	並聯機	c=1 d=1 t=22443
bing mei you 	並沒有	c=4 d=0.18604 t=23402
bing qie 	並且	c=36 d=2.26522 t=23402
bing qing 	病情	c=1 d=2.24363e-07 t=23300
bing xiang 	冰箱	c=2 d=7.82971e-05 t=23300
bing xing 	並行	c=7 d=0.438235 t=23402
bing xing ji 	並行機	c=2 d=7.42989e-06 t=23402
bing zai 	並在	c=2 d=0.000561443 t=23402
bo 	伯	c=4 d=2.49639 t=23402
bo 	博	c=12 d=0.405695 t=23402
bo 	撥	c=1 d=0.290835 t=23402
bo 	波	c=5 d=0.0156453 t=23402
bo 	蔔	c=1 d=5.03201e-39 t=23402
bo da 	撥打	c=1 d=0.0324652 t=23402
bo dong 	波動	c=1 d=4.90526e-33 t=23402
bo duan 	波段	c=1 d=4.88079e-33 t=23402
bo duo 	剝奪	c=1 d=1.35381e-05 t=23300
bo fang 	播放	c=2 d=0.318224 t=23402
bo fang qi 	播放器	c=1 d=0.0335406 t=23300
bo hao 	撥號	c=2 d=2.02522e-08 t=23402
bo he 	薄荷	c=2 d=0.101774 t=23402
bo hu 	伯虎	c=1 d=0.0992613 t=23402
bo ji xiao si 	波積小思	c=1 d=0.157237 t=23402
bo ke 	博客	c=6 d=0.167797 t=23402
bo la tu 	柏拉圖	c=2 d=5.12562e-41 t=23402
bo li 	剝離	c=1 d=1 t=19416
bo li 	玻璃	c=3 d=0.164474 t=23402
bo luo ni ya 	博洛尼亞	c=1 d=1 t=20250
bo shi 	博士	c=23 d=0.386794 t=23402
bo shi yan jiu sheng 	博士研究生	c=3 d=0.00200728 t=23402
bo wen 	博文	c=2 d=2.32558e-06 t=23300
bo wu guan 	博物館	c=13 d=0.494109 t=23402
bo xue 	博學	c=1 d=1.32403e-08 t=23402
bo yi 	博弈	c=3 d=0.144529 t=23402
bo yi lun 	博弈論	c=0 d=0.00672055 t=23402
bu 	不	c=48 d=1.09292 t=23402
bu 	布	c=2 d=0.00428521 t=23402
bu 	補	c=4 d=4.91812e-05 t=23402
bu 	部	c=2 d=0.0365162 t=23402
bu an 	不安	c=1 d=1.81865e-07 t=23300
bu bi 	不必	c=1 d=0.00113061 t=23402
bu bian 	不便	c=1 d=0.162026 t=23402
bu bian 	不變	c=2 d=0.0026189 t=23402
bu biao bai 	不表白	c=1 d=7.56041e-05 t=23402
bu chang 	步長	c=1 d=0.00891518 t=23402
bu chang 	補償	c=1 d=1 t=22299
bu cheng gong 	不成功	c=1 d=1.17451e-10 t=23402
bu cheng li 	不成立	c=1 d=1 t=19465
bu cheng ren 	不承認	c=1 d=0.00970611 t=23402
bu chi 	不吃	c=1 d=7.78776e-30 t=23402
bu chou 	不愁	c=1 d=2.91321e-50 t=23402
bu chu 	不出	c=1 d=2.77508e-08 t=23402
bu chu lai 	不出來	c=1 d=1 t=21978
bu chuan 	不穿	c=1 d=2.34356e-49 t=23402
bu cun zai 	不存在	c=2 d=0.358796 t=23402
bu cuo 	不錯	c=17 d=0.748327 t=23402
bu da 	不大	c=3 d=0.0303521 t=23402
bu da suan 	不打算	c=1 d=5.94925e-09 t=23300
bu dai 	不帶	c=2 d=8.10389e-49 t=23402
bu dai 	布袋	c=1 d=4.71628e-12 t=23402
bu dao 	不到	c=1 d=0.102284 t=23402
bu de 	不得	c=0 d=3.00356e-28 t=23402
bu de bu 	不得不	c=0 d=3.9136e-24 t=23402
bu de bu cheng ren 	不得不承認	c=1 d=3.01861e-27 t=23402
bu de bu shuo 	不得不說	c=1 d=3.93321e-23 t=23402
bu diao 	不掉	c=0 d=4.01944e-05 t=23300
bu dong 	不動	c=2 d=4.07454e-48 t=23402
bu duan 	不斷	c=5 d=0.712778 t=23402
bu dui 	不對	c=6 d=0.00557201 t=23402
bu dui cheng 	不對稱	c=1 d=0.0335406 t=23402
bu duo 	不多	c=2 d=0.000241172 t=23300
bu fa 	步伐	c=1 d=1.05964e-05 t=23300
bu fa 	補發	c=3 d=0.235746 t=23402
bu fang 	不放	c=1 d=6.87033e-26 t=23402
bu fang bian 	不方便	c=1 d=1.28136e-05 t=23300
bu fang xin 	不放心	c=1 d=1.05124e-29 t=23402
bu fen 	部分	c=54 d=1.32494 t=23402
bu fu 	不服	c=1 d=9.30303e-05 t=23402
bu fu he 	不符合	c=1 d=2.08577e-31 t=23402
bu gan xin 	不甘心	c=1 d=1.30899e-50 t=23402
bu gan yu 	不干預	c=1 d=0.0682212 t=23402
bu gao 	不高	c=1 d=1.22327e-18 t=23402
bu gou 	不夠	c=6 d=0.00110822 t=23402
bu gu 	不顧	c=1 d=7.15825e-09 t=23300
bu guai 	不怪	c=2 d=8.1238e-27 t=23402
bu guan 	不管	c=3 d=3.32733e-42 t=23402
bu guang 	不光	c=1 d=5.88805e-05 t=23300
bu guo 	不過	c=10 d=0.807558 t=23402
bu hao 	不好	c=8 d=0.264021 t=23402
bu hao yi si 	不好意思	c=4 d=0.231776 t=23402
bu he ge 	不合格	c=1 d=2.09622e-31 t=23402
bu he li 	不合理	c=1 d=3.0322e-21 t=23402
bu hui 	不會	c=11 d=0.276651 t=23402
bu hui tou 	不迴頭	c=1 d=2.89621e-40 t=23402
bu huo 	捕獲	c=1 d=0.0150707 t=23402
bu ji 	不及	c=1 d=1.53084e-39 t=23402
bu ji 	不計	c=1 d=2.95472e-40 t=23402
bu ji shi 	不及時	c=1 d=5.50513e-08 t=23402
bu jian 	不見	c=1 d=0.136695 t=23402
bu jian rong 	不兼容	c=1 d=0.0100017 t=23402
bu jie yi 	不介意	c=1 d=1.42197e-24 t=23402
